uvrstitev,rezultat [s],ime tekmovalke,datum rojstva,država,pozicija,datum dogodka,skupne točke,kontinent
1,6.98,Julien ALFRED,10 JUN 2001,LCA,1,02 MAR 2024,1227,Severna in Srednja Amerika
1,6.98,Ewa SWOBODA,26 JUL 1997,POL,1sf1,02 MAR 2024,1227,Evropa
3,7.02,Zaynab DOSSO,12 SEP 1999,ITA,2,06 FEB 2024,1213,Evropa
3,7.02,Aleia HOBBS,24 FEB 1996,USA,1,17 FEB 2024,1213,Severna in Srednja Amerika
5,7.03,Shashalee FORBES,10 MAY 1996,JAM,1f2,27 JAN 2024,1209,Severna in Srednja Amerika
5,7.03,Brianna LYSTON,24 MAY 2004,JAM,1,09 MAR 2024,1209,Severna in Srednja Amerika
7,7.06,Mikiah BRISCO,14 JUL 1996,USA,2,17 FEB 2024,1199,Severna in Srednja Amerika
7,7.06,Zoe HOBBS,11 SEP 1997,NZL,4,02 MAR 2024,1199,Oceanija
9,7.07,Kaila JACKSON,30 JUN 2004,USA,1h1,08 MAR 2024,1195,Severna in Srednja Amerika
9,7.07,Jacious SEARS,14 AUG 2001,USA,1h2,08 MAR 2024,1195,Severna in Srednja Amerika
11,7.09,Patrizia VAN DER WEKEN,12 NOV 1999,LUX,1,21 JAN 2024,1188,Evropa
11,7.09,Celera BARNES,02 DEC 1998,USA,3,17 FEB 2024,1188,Severna in Srednja Amerika
13,7.1,Rosemary CHUKWUMA,05 DEC 2001,NGR,1,09 FEB 2024,1185,Afrika
13,7.1,Tristan EVELYN,25 JAN 1998,BAR,1,09 FEB 2024,1185,Severna in Srednja Amerika
15,7.11,Briana WILLIAMS,21 MAR 2002,JAM,2f2,27 JAN 2024,1182,Severna in Srednja Amerika
15,7.11,Jadyn MAYS,02 APR 2002,USA,1f2,23 FEB 2024,1182,Severna in Srednja Amerika
17,7.12,Tamara CLARK,09 JAN 1999,USA,4,17 FEB 2024,1178,Severna in Srednja Amerika
17,7.12,Rani ROSIUS,25 APR 2000,BEL,1h4,02 MAR 2024,1178,Evropa
19,7.13,Kristina MAKARENKO,28 FEB 1997,RUS,1,23 FEB 2024,1175,Evropa
20,7.15,N'Ketia SEEDO,07 JUN 2003,NED,2,04 FEB 2024,1168,Evropa
